#userId, username, password, firstName, lastName, email, cellPhone, personRef
admin, admin, admin, Admin, Admin, admin@getwhydah.com, +4712345678, 0
thomas.pringle@getwhydah.com, thomasp, logMeInPlease, Thomas, Pringle, thomas.pringle@getwhydah.com, +46707771841, 1
erik.drolshammer, erikd, secretPw, Erik, Drolshammer, erik.drolshammer@getwhydah.com, +4712345678, 2
miley.cyrus, mcyrus, cyrus, Miley, Cyrus, test1@getwhydah.com, +4712345678, 2
joan, joanr, rivers, Joan, Rivers, test2@getwhydah.com, +4712345678, 2
coolj, cloonie, Cloonie, George, Clooney, test3@getwhydah.com, +4712345678, 2
stokkd, stokkstad, Marthe, Marte, Stokstad, test4@getwhydah.com, +4712345678, 2
pit, pit, Brad, Brad, Pit, test5@getwhydah.com, +4712345678, 2
atle, antonsen, Atle, Atle, Antonsen, atle@getwhydah.com, +4712345678, 3
alm, almaas, Jon, Jon, Almaas, jon@getwhydah.com, +4712345678, 3
ull, ullmann, Liv, Liv, Ullmann, jon@getwhydah.com, +4712345678, 1
william, will.i.am, lukas, William, Lukas, test@getwhydah.com, +4712345678, 2
